Date;Humidite;Profondeur
2019-08-20;8,422341;130cm
2019-08-20;9,888234;140cm
2019-08-20;12,016285;150cm
2019-08-20;13,352816;160cm
2019-08-27;15,413053;10cm
2019-08-27;18,51527;20cm
2019-08-27;18,877638;30cm
2019-08-27;14,72274;40cm
2019-08-27;12,124836;50cm
2019-08-27;9,986118;60cm
2019-08-27;4,852179;70cm
2019-08-27;5,823409;80cm
2019-08-27;8,126878;90cm
2019-08-27;8,273898;100cm
2019-08-27;8,937859;110cm
2019-08-27;8,452214;120cm
2019-08-27;8,482121;130cm
2019-08-27;9,986118;140cm
2019-08-27;12,124836;150cm
2019-08-27;13,467534;160cm
2019-08-30;21,657297;10cm
2019-08-30;25,248476;20cm
2019-08-30;23,14229;30cm
2019-08-30;18,605522;40cm
2019-08-30;15,910075;50cm
2019-08-30;15,49534;60cm
2019-08-30;10,821976;70cm
2019-08-30;5,799129;80cm
2019-08-30;8,010316;90cm
2019-08-30;8,156175;100cm
2019-08-30;8,907075;110cm
2019-08-30;8,362784;120cm
2019-08-30;8,362784;130cm
2019-08-30;9,790848;140cm
2019-08-30;12,052425;150cm
2019-08-30;13,200688;160cm
2019-09-05;26,736998;10cm
2019-09-05;27,332758;20cm
2019-09-05;24,10742;30cm
2019-09-05;20,267515;40cm
2019-09-05;19,060131;50cm
2019-09-05;20,837126;60cm
2019-09-05;18,560396;70cm
2019-09-05;21,803673;80cm
2019-09-05;24,261541;90cm
2019-09-05;19,612812;100cm
2019-09-05;15,785068;110cm
2019-09-05;10,051661;120cm
2019-09-05;8,303474;130cm
2019-09-05;9,597673;140cm
2019-09-05;11,944191;150cm
2019-09-05;13,087175;160cm
2019-09-12;14,403532;10cm
2019-09-12;17,231239;20cm
2019-09-12;19,798786;30cm
2019-09-12;17,712841;40cm
2019-09-12;16,799204;50cm
2019-09-12;18,51527;60cm
2019-09-12;17,580814;70cm
2019-09-12;18,245808;80cm
2019-09-12;21,657297;90cm
2019-09-12;19,845421;100cm
2019-09-12;19,289461;110cm
2019-09-12;16,928242;120cm
2019-09-12;15,005015;130cm
2019-09-12;14,403532;140cm
2019-09-12;15,577838;150cm
2019-09-12;14,924103;160cm
2019-09-19;19,520151;10cm
2019-09-19;23,14229;20cm
2019-09-19;23,092045;30cm
2019-09-19;19,798786;40cm
2019-09-19;18,650763;50cm
2019-09-19;20,361898;60cm
2019-09-19;18,156431;70cm
2019-09-19;20,173349;80cm
2019-09-19;22,691795;90cm
2019-09-19;20,59885;100cm
2019-09-19;19,705696;110cm
2019-09-19;17,801109;120cm
2019-09-19;14,964537;130cm
2019-09-19;15,045567;140cm
2019-09-19;16,670692;150cm
2019-09-19;15,868342;160cm
2019-09-26;18,201086;10cm
2019-09-26;20,646399;20cm
2019-09-26;21,706036;30cm
2019-09-26;19,381584;40cm
2019-09-26;18,605522;50cm
2019-09-26;20,31469;60cm
2019-09-26;18,832127;70cm
2019-09-26;19,060131;80cm
2019-09-26;21,950493;90cm
2019-09-26;20,220423;100cm
2019-09-26;19,381584;110cm
2019-09-26;17,318298;120cm
2019-09-26;15,290039;130cm
2019-09-26;15,702002;140cm
2019-09-26;17,978317;150cm
2019-09-26;19,014425;160cm
2019-10-03;19,659216;10cm
2019-10-03;20,789351;20cm
2019-10-03;21,366055;30cm
2019-10-03;18,245808;40cm
2019-10-03;17,801109;50cm
2019-10-03;19,566446;60cm
2019-10-03;17,978317;70cm
2019-10-03;19,105885;80cm
2019-10-03;21,608648;90cm
2019-10-03;19,659216;100cm
2019-10-03;18,470222;110cm
2019-10-03;16,670692;120cm
2019-10-03;14,843369;130cm
2019-10-03;14,964537;140cm
2019-10-03;17,449299;150cm
2019-10-03;18,560396;160cm
2019-10-11;19,427717;10cm
2019-10-11;21,317707;20cm
2019-10-11;21,608648;30cm
2019-10-11;18,290592;40cm
2019-10-11;17,889601;50cm
2019-10-11;19,566446;60cm
2019-10-11;17,405586;70cm
2019-10-11;19,197542;80cm
2019-10-11;21,124825;90cm
2019-10-11;19,473896;100cm
2019-10-11;18,111814;110cm
2019-10-11;16,372753;120cm
2019-10-11;14,284733;130cm
2019-10-11;14,522808;140cm
2019-10-11;16,713478;150cm
2019-10-11;18,06727;160cm
2019-10-19;18,201086;10cm
2019-10-19;20,741642;20cm
2019-10-19;22,991653;30cm
2019-10-19;20,59885;40cm
2019-10-19;19,892105;50cm
2019-10-19;21,511457;60cm
2019-10-19;20,31469;70cm
2019-10-19;19,845421;80cm
2019-10-19;22,891518;90cm
2019-10-19;21,317707;100cm
2019-10-19;20,59885;110cm
2019-10-19;18,245808;120cm
2019-10-19;16,288136;130cm
2019-10-19;16,1616;140cm
2019-10-19;18,696014;150cm
2019-10-19;19,566446;160cm
2019-10-25;25,458656;10cm
2019-10-25;25,564056;20cm
2019-10-25;22,29496;30cm
2019-10-25;19,289461;40cm
2019-10-25;18,650763;50cm
2019-10-25;19,985605;60cm
2019-10-25;19,014425;70cm
2019-10-25;19,75223;80cm
2019-10-25;21,754839;90cm
2019-10-25;20,032482;100cm
2019-10-25;18,877638;110cm
2019-10-25;17,318298;120cm
2019-10-25;15,086195;130cm
2019-10-25;15,49534;140cm
2019-10-25;17,978317;150cm
2019-10-25;19,060131;160cm
2019-10-31;23,458656;10cm
2019-10-31;23,724056;20cm
2019-10-31;20,45496;30cm
2019-10-31;17,449461;40cm
2019-10-31;16,810763;50cm
2019-10-31;18,145605;60cm
2019-10-31;17,174425;70cm
2019-10-31;17,91223;80cm
2019-10-31;19,914839;90cm
2019-10-31;18,192482;100cm
2019-10-31;17,037638;110cm
2019-10-31;15,478298;120cm
2019-10-31;13,246195;130cm
2019-10-31;13,65534;140cm
2019-10-31;16,138317;150cm
2019-10-31;17,220131;160cm
2019-11-07;19,958656;10cm
2019-11-07;21,864056;20cm
2019-11-07;18,49496;30cm
2019-11-07;15,589461;40cm
2019-11-07;14,950763;50cm
2019-11-07;16,285605;60cm
2019-11-07;15,314425;70cm
2019-11-07;16,05223;80cm
2019-11-07;18,054839;90cm
2019-11-07;17,732482;100cm
2019-11-07;16,577638;110cm
2019-11-07;15,018298;120cm
2019-11-07;12,786195;130cm
2019-11-07;13,19534;140cm
2019-11-07;15,678317;150cm
2019-11-07;16,760131;160cm
